t,i,k,dist_km,tau_steps,de_tochg
1,308,136,10.0,1,10
1,317,136,20.0,1,20
2,308,136,10.0,1,10
2,317,136,20.0,1,20
3,308,136,10.0,1,10
3,317,136,20.0,1,20
4,308,136,10.0,1,10
4,317,136,20.0,1,20
5,308,136,10.0,1,10
5,317,136,20.0,1,20
6,308,136,10.0,1,10
6,317,136,20.0,1,20
7,308,136,10.0,1,10
7,317,136,20.0,1,20
8,308,136,10.0,1,10
8,317,136,20.0,1,20
