t,zone,soc,reachable,num_reachable,req_de_all,min_de_any,n_expected,n_finite
6,317,40,1,1,20.0,20.0,1,1
6,317,50,1,1,20.0,20.0,1,1
6,317,60,1,1,20.0,20.0,1,1
6,317,70,1,1,20.0,20.0,1,1
6,317,80,1,1,20.0,20.0,1,1
6,317,90,1,1,20.0,20.0,1,1
6,317,100,1,1,20.0,20.0,1,1
7,308,0,0,0,10.0,10.0,1,1
7,308,10,0,1,10.0,10.0,1,1
7,308,20,1,1,10.0,10.0,1,1
7,308,30,1,1,10.0,10.0,1,1
7,308,40,1,1,10.0,10.0,1,1
7,308,50,1,1,10.0,10.0,1,1
7,308,60,1,1,10.0,10.0,1,1
7,308,70,1,1,10.0,10.0,1,1
7,308,80,1,1,10.0,10.0,1,1
7,308,90,1,1,10.0,10.0,1,1
7,308,100,1,1,10.0,10.0,1,1
7,317,0,0,0,20.0,20.0,1,1
7,317,10,0,0,20.0,20.0,1,1
7,317,20,0,1,20.0,20.0,1,1
7,317,30,1,1,20.0,20.0,1,1
7,317,40,1,1,20.0,20.0,1,1
7,317,50,1,1,20.0,20.0,1,1
7,317,60,1,1,20.0,20.0,1,1
7,317,70,1,1,20.0,20.0,1,1
7,317,80,1,1,20.0,20.0,1,1
7,317,90,1,1,20.0,20.0,1,1
7,317,100,1,1,20.0,20.0,1,1
8,308,0,0,0,10.0,10.0,1,1
8,308,10,0,1,10.0,10.0,1,1
8,308,20,1,1,10.0,10.0,1,1
8,308,30,1,1,10.0,10.0,1,1
8,308,40,1,1,10.0,10.0,1,1
8,308,50,1,1,10.0,10.0,1,1
8,308,60,1,1,10.0,10.0,1,1
8,308,70,1,1,10.0,10.0,1,1
8,308,80,1,1,10.0,10.0,1,1
8,308,90,1,1,10.0,10.0,1,1
8,308,100,1,1,10.0,10.0,1,1
8,317,0,0,0,20.0,20.0,1,1
8,317,10,0,0,20.0,20.0,1,1
8,317,20,0,1,20.0,20.0,1,1
8,317,30,1,1,20.0,20.0,1,1
8,317,40,1,1,20.0,20.0,1,1
8,317,50,1,1,20.0,20.0,1,1
8,317,60,1,1,20.0,20.0,1,1
8,317,70,1,1,20.0,20.0,1,1
8,317,80,1,1,20.0,20.0,1,1
8,317,90,1,1,20.0,20.0,1,1
8,317,100,1,1,20.0,20.0,1,1
