i,cand_total,kept_n,dropped_n,min_dist_all,max_dist_all,min_dist_kept,max_dist_kept,threshold_dist,nan_in_cands
308,1,1,0,20.0,20.0,20.0,20.0,20.0,0
317,1,1,0,40.0,40.0,40.0,40.0,40.0,0
