t,i,k,dist_km,tau_steps,de_tochg
87,317,136,17.064885273580643,3,10
88,308,136,4.325058144274983,1,5
88,317,136,17.064885273580643,3,10
89,308,136,4.325058144274983,1,5
89,317,136,17.064885273580643,3,10
90,308,136,4.325058144274983,1,5
90,317,136,17.064885273580643,3,10
91,308,136,4.325058144274983,1,5
91,317,136,17.064885273580643,3,10
92,308,136,4.325058144274983,1,5
92,317,136,17.064885273580643,3,10
93,308,136,4.325058144274983,1,5
93,317,136,17.064885273580643,3,10
94,308,136,4.325058144274983,1,5
94,317,136,17.064885273580643,3,10
95,308,136,4.325058144274983,1,5
95,317,136,17.064885273580643,3,5
96,308,136,4.325058144274983,1,5
96,317,136,17.064885273580643,3,5
97,308,136,4.325058144274983,1,0
97,317,136,17.064885273580643,3,0
98,308,136,4.325058144274983,1,0
98,317,136,17.064885273580643,3,0
99,308,136,4.325058144274983,1,0
99,317,136,17.064885273580643,3,0
100,308,136,4.325058144274983,1,0
100,317,136,17.064885273580643,3,0
